"YearsSinceBurn","Compound","Concentration"
"328",20,"beta.cedrene",2.1
"329",20,"cis.thujopsene",36.9
"330",20,"alpha.himachalene",0.6
"331",20,"beta.chamigrene",1.6
"332",20,"cuparene",3.6
"333",20,"compound.1",2.8
"334",20,"alpha.chamigrene",1
"335",20,"widdrol",8.3
"336",20,"cedrol",4.6
"337",20,"beta.acorenol",0
"338",20,"alpha.acorenol",0
"339",20,"gamma.eudesmol",3.2
"340",20,"beta.eudesmol",3.8
"341",20,"alpha.eudesmol",1.6
"342",20,"cedr.8.en.13.ol",1.5
"343",20,"cedr.8.en.15.ol",0.8
"344",20,"compound.2",1.4
"345",20,"thujopsenal",1
"346",21,"alpha.pinene",0
"347",21,"para.cymene",0.1
"348",21,"alpha.terpineol",0
"349",21,"cedr.9.ene",1.2
"350",21,"alpha.cedrene",17.5
"351",21,"beta.cedrene",4.2
"352",21,"cis.thujopsene",16.1
"353",21,"alpha.himachalene",0.6
"354",21,"beta.chamigrene",1.1
"355",21,"cuparene",1.7
"356",21,"compound.1",3.2
"357",21,"alpha.chamigrene",1
"358",21,"widdrol",4.9
"359",21,"cedrol",16.9
"360",21,"beta.acorenol",0
"361",21,"alpha.acorenol",0
"362",21,"gamma.eudesmol",0.8
"363",21,"beta.eudesmol",1
"364",21,"alpha.eudesmol",0.5
"365",21,"cedr.8.en.13.ol",6.9
"366",21,"cedr.8.en.15.ol",1.6
"367",21,"compound.2",2.5
"368",21,"thujopsenal",2.3
"369",22,"alpha.pinene",0.1
"370",22,"para.cymene",0.1
"371",22,"alpha.terpineol",0.2
"372",22,"cedr.9.ene",0.4
"373",22,"alpha.cedrene",17.1
"374",22,"beta.cedrene",3.6
"375",22,"cis.thujopsene",9.1
"376",22,"alpha.himachalene",0.1
"377",22,"beta.chamigrene",0.6
"378",22,"cuparene",1.3
"379",22,"compound.1",1
"380",22,"alpha.chamigrene",0.4
"381",22,"widdrol",5.7
"382",22,"cedrol",39.2
"383",22,"beta.acorenol",0
"384",22,"alpha.acorenol",0
"385",22,"gamma.eudesmol",0.5
"386",22,"beta.eudesmol",0.6
"387",22,"alpha.eudesmol",0.3
"388",22,"cedr.8.en.13.ol",5.1
"389",22,"cedr.8.en.15.ol",2.4
"390",22,"compound.2",0.9
"391",22,"thujopsenal",1.9
"392",2,"alpha.pinene",0.6
"393",2,"para.cymene",0.4
"394",2,"alpha.terpineol",2.3
"395",2,"cedr.9.ene",0.2
"396",2,"alpha.cedrene",1.9
"397",2,"beta.cedrene",1.2
"398",2,"cis.thujopsene",25.9
"399",2,"alpha.himachalene",0.2
"400",2,"beta.chamigrene",0.4
"401",2,"cuparene",1.8
"402",2,"compound.1",0.7
"403",2,"alpha.chamigrene",0
"404",2,"widdrol",1
"405",2,"cedrol",37.5
"406",2,"beta.acorenol",3.3
"407",2,"alpha.acorenol",1.1
"408",2,"gamma.eudesmol",0
"409",2,"beta.eudesmol",2
